target,message,message_len,message_clean,target_encoded
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",11,sound gd haha wah yan jiu fast liao,0
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,14,nosi guess idk react freak,0
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",38,rememb hurt day satan impost mene pay priceso itmay destini keep go said pray get mind get,0
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,121,make girl happi difficult make girl happi need friend companion lover chef ltgt good listen ltgt organ ltgt good boyfriend ltgt clean ltgt sympathet ltgt athlet ltgt warm ltgt courag ltgt determin ltgt true ltgt depend ltgt intellig ltgt psychologist ltgt pest extermin ltgt psychiatrist ltgt healer ltgt stylist ltgt driver aaniy pudunga venaam,0
ham,"Why is that, princess? I bet the brothas are all chasing you!",12,princess bet brotha chase,0
ham,"I shall book chez jules for half eight, if that's ok with you?",13,shall book chez jule half eight ok,0
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,11,hhahhaahahah rofl wtf nig leonardo room someth,0
ham,"Yep, at derek's house now, see you Sunday &lt;3",9,yep derek hous see sunday,0
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",20,cool let know kick around ltgt ill day,0
ham,"Sorry, I'll call later",4,sorri ill call later,0
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,71,wonder would okay call uncl john let know thing nigeria r ltgt dollar sent know strain plan pay back everi dime give everi dime expect anyth practic someth like,0
ham,There are no other charges after transfer charges and you can withdraw anyhow you like,15,charg transfer charg withdraw anyhow like,0
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",32,dont search love let love find call fall love bcoz dont forc fall know smeon hold bslvyl,0
ham,At 4. Let's go to bill millers,7,let go bill miller,0
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,25,love set soul fire spark flame big rawr flame xoxo,0
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",33,somewhr someon sure made god decid perfect time make meet dat person till den enjoy ur crush,0
ham,That's my honeymoon outfit. :),5,honeymoon outfit,0
ham,Will it help if we propose going back again tomorrow,10,help propo go back tomorrow,0
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,20,privat account statement show unredeem point call identifi code expir,1
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,28,never blame day ur life good day give happi bad day give experi essenti life god bless good morn,0
ham,Pls confirm the time to collect the cheque.,8,pls confirm time collect chequ,0
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,29,regist subscrib yr draw å£ gift voucher b enter receipt correct next olymp txt,1
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,23,urgent mobil number award å£ prize guarant call land line claim valid,1
ham,Daddy will take good care of you :),8,daddi take good care,0
ham,"Yeah probably, I still gotta check out with leo",9,yeah probabl still gotta check leo,0
ham,K.then any other special?,4,kthen special,0
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,27,carlo take sweet time usual let know patti donew smoke ill tell haul ass,0
ham,Ok pa. Nothing problem:-),4,ok pa noth problem,0
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,27,heard job go wildlif talk tonight wizzl whatev,0
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",19,god pick flower dippeditinadew love touch itwhichturnedinto gift tomeandsaidthi friend,0
ham,When you came to hostel.,5,came hostel,0
ham,Ok no prob... I'll come after lunch then...,8,ok prob ill come lunch,0
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,21,jus tell dat ill b leav shanghai instead well haf time meet cya,0
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,36,freez home yet rememb kiss mom morn love think miss yet,0
ham,You all ready for * big day tomorrow?,8,readi big day tomorrow,0
ham,I'll probably be around mu a lot,7,ill probabl around mu lot,0
ham,645,1,,0
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,20,rtking pro video club need help inforingtonekingcouk call must club credit redeem enjoy,1
ham,Thnx dude. u guys out 2nite?,6,thnx dude guy,0
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!,10,sef dey laugh meanwhil darl anji,0
ham,Mm i had my food da from out,8,mm food da,0
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",25,k make sen btw carlo difficult guy gonna smoke go pick second batch get gas,0
ham,Did u download the fring app?,6,download fring app,0
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,23,oz guy kinda flaki one friend interest pick ltgt worth tonight possibl,0
ham,Friends that u can stay on fb chat with,9,friend stay fb chat,0
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",37,fuck babe miss sooooo much wish sleep bed lone go sleep dream love,0
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",24,live simpl love also simpl laugh simpl win tooo simpl simpl difficult gud nte,0
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,24,secret admir look make contact ufind rreveal think ur specialc,1
ham,"Ah, well that confuses things, doesnÛ÷t it?",7,ah well confus thing doesnû÷t,0
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,14,free text msgs text ok well credit account,1
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,32,hi dear call urgnt dont know problem dont want work problem least tell wate repli,0
ham,Dear how you. Are you ok?,6,dear ok,0
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS",27,select stay top british hotel noth holiday worth å£ claim call london bx,1
ham,Yes princess! I want to make you happy...,8,yes princess want make happi,0
ham,Sounds like you have many talents! would you like to go on a dinner date next week?,17,sound like mani talent would like go dinner date next week,0
ham,I am going to film 2day da. At 6pm. Sorry da.,11,go film da sorri da,0
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,15,watch movi alreadi xy want shop shop w,0
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,28,hello littl parti anim thought id buzz friend grin remind love send naughti ador kiss,0
ham,Yesterday its with me only . Now am going home.,10,yesterday go home,0
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",23,eeri nokia tone rpli tone titl eg tone dracula titl ghost addamsfa munster exorcist twilight,1
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",32,come life brought sun shini warm heart put constant smile face make feel love care,0
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",36,shit wasnt surpri went spent even french guy met town fool around bit didnt let fuck,0
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",14,allow compani bill sms respon supplier,1
ham,Great comedy..cant stop laughing da:),5,great comedyc stop laugh da,0
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,31,freemsgfeelin kinda lnli hope like keep compani jst got cam mobi wanna pictxt repli date hlp stop,1
ham,"Alright, we're all set here, text the man",8,alright set text man,0
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",33,hi theyr keen go kind feel shouldnt go tomo dont mind,0
ham,Sleeping nt feeling well,4,sleep nt feel well,0
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!,7,switch fone dammit,0
ham,India have to take lead:),5,india take lead,0
ham,I.ll post her out l8r. In class,7,ill post class,0
ham,Thts wat Wright Brother did to fly..,7,thts wat wright brother fli,0
ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!",28,even v good somewhat event laden fill dont worri û head ok throat wreck see six,0
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),27,laugh realli loud talk spontan dont care feel probabl dear amp best friend goodeven dear,0
ham,ITS A LAPTOP TAKE IT WITH YOU.,7,laptop take,0
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,27,dont file bagi work call mei tell find anyth room,0
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,17,wan ear lei outsid wun b home ear neva mind,0
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",19,ur chanc win å£ cash everi wk txt action tscs custcar,1
ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? ,34,bugi juz wat walk home oredi ìï late repli oso saw top dat like din buy r ì,0
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",14,wish famili merri x mas happi new year advanc,0
ham,At 7 we will go ok na.,7,go ok na,0
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),19,yes post coupl pic fb still snow outsid wake,0
ham,S:-)if we have one good partnership going we will take lead:),11,sif one good partnership go take lead,0
spam,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,22,rgent attempt contact uu å£ call callcost mobilesvari maxå£,1
ham,"Yeah, where's your class at?",5,yeah class,0
ham,No just send to you. Bec you in temple na.,10,send bec templ na,0
ham,"You aren't coming home between class, right? I need to work out and shower!",14,arent come home class right need work shower,0
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,25,hi ur lookin sauci daytim fun wiv busti marri woman free next week chat sort time janinexx callså£,1
ham,S but mostly not like that.,6,like,0
ham,ÌÏ v ma fan...,4,ìï v fan,0
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,27,dunno cos v late n reach insid alreadi ate spageddi lor e gal r laugh lor,0
ham,Guess who spent all last night phasing in and out of the fourth dimension,14,guess spent last night phase fourth dimen,0
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,19,dad gonna call get work ask crazi question,0
ham,"Yes..but they said its IT.,",5,yesbut said,0
ham,Very hurting n meaningful lines ever: \I compromised everything for my love,12,hurt n mean line ever compromi everyth love,0
ham,Lmao!nice 1,2,lmaonic,0
ham,Glad to see your reply.,5,glad see repli,0
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,28,urgent tri contact today draw show å£ prize guarant call land line claim valid,1
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,13,month password wap mobsicom use wap phone pc,1
ham,Nah dub but je still buff,6,nah dub je still buff,0
ham,Painful words- \I thought being Happy was the most toughest thing on Earth... But,14,pain word thought happi toughest thing earth,0
ham,"Yeah, that's fine! It's å£6 to get in, is that ok? ",12,yeah fine å£ get ok,0
ham,Lol where do u come up with these ideas?,9,lol come idea,0
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",29,mani peopl seem special first sight remain special till last sight maintain till life end shjas,0
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",23,today song dedic day song dedic send ur valuabl frnds first rpli,0
ham,Okay... We wait ah,4,okay wait ah,0
ham,Y lei?,2,lei,0
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,30,hi babe r like bed sorri tonight realli wanna see tomorrow call love xxx,0
ham,Already am squatting is the new way of walking,9,alreadi squat new way walk,0
ham,Do you want bold 2 or bb torch,8,want bold bb torch,0
ham,Cramps stopped. Going back to sleep,6,cramp stop go back sleep,0
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,28,today vodafon number end last four digit select receiv å£ award number match plea call claim å£ award,1
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,16,free top rington sub week ringtoneget week freesend subpoli per weekstop,1
ham,Nan sonathaya soladha. Why boss?,5,nan sonathaya soladha boss,0
ham,Bring tat cd don forget,5,bring tat cd forget,0
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,25,sunshin quiz wkli q win top soni dvd player know countri algarv txt ansr å£ sptyron,1
ham,I don't know but I'm raping dudes at poker,9,dont know rape dude poker,0
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,18,weightloss girl friend make load money ebay someth give thank god,0
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,20,see messag r leav congrat dear school wat r ur plan,0
ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,16,ìï eatin later eatin wif fren lei ìï go home first,0
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,12,finish alreadi yar keep say mushi embarrass ok,0
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",16,sorri man stash ran dri last night cant pick sunday,0
ham,Hai priya are you right. What doctor said pa. Where are you.,12,hai priya right doctor said pa,0
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",27,free msg sorri servic order could deliv suffici credit plea top receiv servic,1
ham,Ok...,1,ok,0
ham,Please ask mummy to call father,6,plea ask mummi call father,0
ham,Can come my room but cannot come my house cos my house still messy... Haha...,15,come room cannot come hous cos hous still messi haha,0
ham,I have lost 10 kilos as of today!,8,lost kilo today,0
ham,Just taste fish curry :-P,5,tast fish curri p,0
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,20,might accid tookplac somewh ghodbandar rd traffic move slove plz slip amp dont worri,0
ham,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?,15,yun ahnow ì wkg wherebtw ì go nus sc ìï wana speciali wad,0
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,16,yes one woman man plea tell like dislik bed,0
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,12,test earlier appreci call tomorrow,0
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",31,loverboy keep come queen hmmm doesnt ach speak miss despar,0
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,14,meet fren dun wan meet ah muz b guy rite,0
ham,"(No promises on when though, haven't even gotten dinner yet)",10,promi though havent even gotten dinner yet,0
ham,I got your back! Do you have any dislikes in bed?,11,got back dislik bed,0
ham,o turns out i had stereo love on mi phone under the unknown album.,14,turn stereo love mi phone unknown album,0
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,23,hard live chat choo girl connect live call cheap chat uk biggest live servic vu,1
ham,Yeah I don't see why not,6,yeah dont see,0
ham,Asking do u knw them or nt? May be ur frnds or classmates?,13,ask knw nt may ur frnds classmat,0
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",20,sorri earlier put firesar around talk actual life lol,0
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,25,wow boy r back take uk tour win vip ticket prebook vip club txt club trackmarqu ltd,1
ham,"As in missionary hook up, doggy hook up, standing...|",9,missionari hook doggi hook stand,0
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,16,better go sleep dun disturb liao wake msg lor,0
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",35,fight world easi either win lose bt fightng close dificult lose lose win still lose,0
ham,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.,25,watch hous ûò entertain ûò get whole hugh lauri thing ûò even stick ûò ind especi stick,0
ham,Thought praps you meant another one. Goodo! I'll look tomorrow ,11,thought prap meant anoth one goodo ill look tomorrow,0
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",32,hi jon pete ive bin spain recent hav sum dinero left bill said ur åôrent mayb interest hav around å£ tb jame,0
ham,There bold 2  &lt;#&gt; . Is that yours,9,bold ltgt,0
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,15,know shall speak ltgt minut,0
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",26,alrit hunnywot didnt end goin town jus da pub instead jus chillin da mo bedroomlov jen xxx,0
ham,I went to project centre,5,went project centr,0
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,22,per request maangalyam alaipayuth set callertun caller press copi friend callertun,0
ham,Lol yeah at this point I guess not,8,lol yeah point guess,0
ham,Doing project w frens lor. ,6,project w fren lor,0
ham,Lol. Well quality aint bad at all so i aint complaining,11,lol well qualiti aint bad aint complain,0
ham,"K, can that happen tonight?",5,k happen tonight,0
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",34,hi mandi sullivan call hotmix fmyou chosen receiv å£ easter prize drawplea telephon claim prize transfer someon el,1
ham,"I think we're going to finn's now, come",8,think go finn come,0
ham,Why tired what special there you had,7,tire special,0
ham,I will come tomorrow di,5,come tomorrow di,0
ham,I cant pick the phone right now. Pls send a message,11,cant pick phone right pls send messag,0
ham,K go and sleep well. Take rest:-).,7,k go sleep well take rest,0
ham,U guys never invite me anywhere :(,7,guy never invit anywh,0
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,27,ur go bahama callfreefon speak live oper claim either bahama crui ofå£ cash opt txt x,1
ham,I can do that! I want to please you both inside and outside the bedroom...,15,want plea insid outsid bedroom,0
ham,"\EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.\""""",26,ey calm downon theacus itxt cos iwana know wotu r doin thewend haventcn agesr ur neth satlov j xxx,0
ham,I love to wine and dine my lady!,8,love wine dine ladi,0
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,24,someon conact date servic enter phone fanci youto find call landlin,1
ham,"IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",33,iåõm cool ta luv vtire caus doin load plan wk got social servic inspect nurseri take care spk sn x,0
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.,18,know account detailsi ask mom send youmi mom reach,0
ham,I think u have the wrong number.,7,think wrong number,0
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),29,feel alway happi slowli becom habit amp final becom part life follow happi morn amp happi day,0
ham,DO NOT B LATE LOVE MUM,6,b late love mum,0
ham,Got it..mail panren paru..,4,got itmail panren paru,0
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,18,think chuckin ur red green n black trainner save carryin bac train,0
ham,Give one miss from that number please,7,give one miss number plea,0
ham,Jus came back fr lunch wif my sis only. U leh?,11,jus came back fr lunch wif sis leh,0
ham,How is your schedule next week? I am out of town this weekend.,13,schedul next week town weekend,0
ham,Really good:)dhanush rocks once again:),5,realli gooddhanush rock,0
ham,Lmao ok I wont be needing u to do my hair anymore.,12,lmao ok wont need hair anymor,0
ham,"Miss ya, need ya, want ya, love ya.",8,miss ya need ya want ya love ya,0
ham,Sorry i'm not free...,4,sorri free,0
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,26,ever get song stuck head reason wont go away til listen like time,0
ham,Nt yet chikku..simple habba..hw abt u?,6,nt yet chikkusimpl habbahw abt,0
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",31,got ur mail dileepthank muchand look forward lot supportveri less contact hererememb one venugop mentionedtomorrow latei shall tri come till theregoodnight dear,0
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,23,sometim heart remembr someon much forget someon soon bcoz heart like everyon like one rememb everytim bslvyl,0
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,13,joy father john john name joy father mandan,0
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,22,hi ibh custom loyalti offer new mobil å£ txtauctiontxt wordstart get,1
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,20,hi yiju regard textbook intro algorithm second edit sell,0
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,30,sms auction nokia get win free auction take part send nokia,1
ham,"K, want us to come by now?",7,k want us come,0
ham,How. Its a little difficult but its a simple way to enter this place,14,littl difficult simpl way enter place,0
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,29,ha us e thing got tv watch thk go tonight alreadi haf smth mind,0
ham,Dont show yourself. How far. Put new pictures up on facebook.,11,dont show far put new pictur facebook,0
ham,Watching tv now. I got new job :),8,watch tv got new job,0
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",33,good afternoon sexi bun goe job search wake first thought alway love wish fine happi know ador,0
ham,"I'm not coming over, do whatever you want",8,come whatev want,0
ham,"Its ok chikku, and its my 1 of favourite song..:-)",10,ok chikku favourit song,0
ham,Did u see what I posted on your Facebook?,9,see post facebook,0
spam,Call FREEPHONE 0800 542 0578 now!,6,call freephon,1
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,28,buy space invad chanc win orig arcad game consol press game arcad std wap charg see term set purcha,1
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",30,wonder world ur style ur smile ur person ur natur ur sms ur love friendship good morn dear,0
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",28,loan purpo å£ å£ homeown tenant welcom previous refus still help call free text back help,1
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,27,big brother alert comput select cash voucher call ntt po box bt landlin cost mobil vari,1
ham,";-( oh well, c u later",6,oh well later,0
ham,My uncles in Atlanta. Wish you guys a great semester.,10,uncl atlanta wish guy great semest,0
ham,No dear i do have free messages without any recharge. Hi hi hi,13,dear free messag without recharg hi hi hi,0
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",32,dont search love let love find call fall love bcoz dont forc fall know smeon hold bslvyl,0
ham,I dun believe u. I thk u told him.,9,dun believ thk told,0
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",29,know god creat gap finger one made come amp fill gap hold hand love,0
ham,Yes:)sura in sun tv.:)lol.,4,yessura sun tvlol,0
ham,Arun can u transfr me d amt,7,arun transfr amt,0
ham,Takin a shower now but yeah I'll leave when I'm done,11,takin shower yeah ill leav done,0
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,22,work eye philosophi text later bit free chat,0
ham,U havenåÕt lost me ill always b here 4u.i didnåÕt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatåÕs what itried2tell urmom.i careabout u,30,havenåõt lost ill alway b didnåõt intend hurt never knew felt iwasmarinethatåõ urmomi careabout,0
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",25,win winner mr foley ipod excit prize soon keep eye ur mobil visit,1
ham,You bad girl. I can still remember them,8,bad girl still rememb,0
ham,How much i gave to you. Morning.,7,much gave morn,0
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",34,hope alright babe worri might felt bit despar learn job fake wait come back love,0
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",24,hey tell blake address carlo want meet got lost hes answer phone,0
ham,Can i get your opinion on something first?,8,get opinion someth first,0
ham,That one week leave i put know that time. Why.,10,one week leav put know time,0
ham,"If we hit it off, you can move in with me :)",12,hit move,0
